participant_number,Clip 1,Clip 2,Clip 3,Clip 4,Clip 5,Clip 6
163,4,14,10,7,23,13
164,8,0,0,8,2,0
165,0,3,12,6,21,6
166,7,23,7,14,22,19
167,2,12,5,0,9,5
168,5,19,11,3,15,17
169,10,10,8,18,11,11
170,4,14,10,7,23,13
171,0,3,12,6,21,6
172,2,12,5,0,9,5
173,20,9,14,5,1,16
174,23,13,20,2,20,10
175,15,1,6,20,6,2
176,9,20,15,9,4,3
177,6,16,3,22,7,20
178,1,8,21,13,10,14
179,16,4,9,17,5,8
180,11,2,19,19,0,21
181,22,15,22,1,8,22
182,8,0,0,8,2,0
183,13,17,16,21,14,1
184,14,11,1,23,16,15
185,18,18,23,15,12,12
186,19,6,17,12,13,9
187,12,21,18,16,18,23
188,17,22,4,11,17,4
189,7,23,7,14,22,19
190,5,19,11,3,15,17
191,21,7,13,10,3,18
192,3,5,2,4,19,7
193,7,23,7,14,22,19
194,16,4,9,17,5,8
195,1,8,21,13,10,14
196,2,12,5,0,9,5
197,4,14,10,7,23,13
198,10,10,8,18,11,11
199,13,17,16,21,14,1
200,21,7,13,10,3,18
201,9,20,15,9,4,3
202,15,1,6,20,6,2
203,20,9,14,5,1,16
204,8,0,0,8,2,0
205,19,6,17,12,13,9
206,12,21,18,16,18,23
207,18,18,23,15,12,12
208,6,16,3,22,7,20
209,11,2,19,19,0,21
210,22,15,22,1,8,22
211,5,19,11,3,15,17
212,14,11,1,23,16,15
213,3,5,2,4,19,7
214,17,22,4,11,17,4
215,23,13,20,2,20,10
216,0,3,12,6,21,6
217,16,4,9,17,5,8
218,1,8,21,13,10,14
219,12,21,18,16,18,23
220,14,11,1,23,16,15
221,4,14,10,7,23,13
222,10,10,8,18,11,11
223,11,2,19,19,0,21
224,2,12,5,0,9,5
225,15,1,6,20,6,2
226,7,23,7,14,22,19
227,18,18,23,15,12,12
228,8,0,0,8,2,0
229,9,20,15,9,4,3
230,3,5,2,4,19,7
231,6,16,3,22,7,20
232,23,13,20,2,20,10
233,22,15,22,1,8,22
234,5,19,11,3,15,17
235,13,17,16,21,14,1
236,20,9,14,5,1,16
237,0,3,12,6,21,6
238,21,7,13,10,3,18
239,19,6,17,12,13,9
240,17,22,4,11,17,4
